Complexity,Loss,Equation
1,1.2852560405965934e6,"f = #2"
3,1.2850981288861374e6,"f = #2 + #2"
5,1.2849422171756807e6,"f = (#2 + #2) + #2"
7,63.98311164949686,"f = -9.98113876321112e-6 / #2"
8,61.999317567713526,"f = log(#2) * 0.4000396782918318"
10,59.54660017570983,"f = log(#2 * #2) * 0.2000199490328221"
12,42.94263729103277,"f = log(#2 - (#2 * #1)) * 0.4000422092652225"
15,30.815695598441547,"f = log(#1 - (#2 / #2)) + (log(#2) * 0.4000396783158612)"
17,28.362978206437838,"f = (log(#2 * #2) * 0.2000199490328221) + log(#1 - (#2 / #2))"
19,26.55570004641639,"f = (log(#2 * #2) * 0.2000199490328221) + log(#1 + -1.0060753516786638)"
21,23.807402189016884,"f = (log((#1 - (#2 / #2)) * (#1 - (#2 / #2))) + log(#2)) * 0.4000397146390413"
22,19.640512154944137,"f = (0.4000396783162016 * log(#2)) + (log((#1 / #1) - #1) + log(#1 - (#2 / #2)))"
24,17.833233994922224,"f = (log(#2) * 0.4000396783252738) + (log((#1 / #1) - #1) + log(#1 + -1.006075353719849))"
26,17.341191303498682,"f = ((log(#2) * 0.4000396783252738) + log(0.9846315202808169 - #1)) + log(#1 + -1.006075353719849)"
28,17.31740889091055,"f = log(0.983512868766055 - #1) + (((log(#2) + #1) * 0.40003965815223524) + log(#1 + -1.005932576505335))"
30,14.410706083994212,"f = 0.4 * ((log((#1 - (#2 / #2)) * (#1 - (#2 / #2))) + log(#2)) - log((#1 / #1) - (#1 + #2)))"
31,10.165684392449103,"f = log((#1 / #1) - #1) + (log(#1 - (#2 / #2)) + ((log(#2) - log((#1 / #1) - (#1 + #2))) * 0.4000006941297281))"
33,8.630975748973235,"f = log((#1 / #1) - #1) + (log(#1 + -1.0060710141601577) + ((log(#2) - log((#2 / #2) - (#2 + #1))) * 0.4000006941297281))"
35,7.348019370159068,"f = log((#1 / #1) - #1) + (log(#1 - (#2 / #2)) + ((log(#2) - log(((#2 + #1) - (#2 / #2)) / (#1 - #2))) * 0.4000006941297281))"
37,5.39811567746302,"f = log((#1 / #1) - #1) + (log(#1 + -1.0060710141601577) + ((log(#2) - log(((#2 + #1) - (#2 / #2)) / (#1 - #2))) * 0.4000006941297281))"
39,4.8311132140936675,"f = log((#1 / #1) - #1) + (log(#1 + -1.0060710141601577) + ((log(#2) - log(((#2 + #1) - (#2 / #2)) / (#1 - (#1 / #1)))) * 0.4000006941297281))"
40,4.410785443458902,"f = ((log((#1 - (#2 / #2)) * (#1 - (#2 / #2))) * 1.6893432174957683) + (log(#2) - log((#1 - #2) * ((#2 + #1) - (#1 / #1))))) * 0.4000397146390413"
42,2.30956619915816,"f = (((log(#2) - log((#2 + #1) - (#2 / #2))) - log((#1 / #1) - (#1 + #2))) * 0.4000396783252738) + (log((#2 / #2) - #1) + log(#1 + -1.006075353719849))"
44,1.728395412085016,"f = (((log(#2) - log((#2 + #1) - (#2 / #2))) - log((#1 / #1) - (#1 + #2))) * 0.4000396783252738) + (log(0.9846315202808169 - #1) + log(#1 + -1.006075353719849))"
45,1.0403675592877781,"f = (log((#1 - (#2 / #2)) * (#1 - (#2 / #2))) * 0.6666666792392347) + (((log(#2) - log(#1 + (#2 - (#1 / #1)))) - log((#1 / #1) - (#1 + #2))) * 0.40000021973597827)"
47,0.8927190295780483,"f = (((log(#2) - log(#1 + (#2 - (#1 / #1)))) + ((log((#1 - (#1 / #1)) * (#1 - (#1 / #1))) * 1.6666253011751317) - log((#1 / #1) - (#2 + #1)))) - #2) * 0.40001028090982077"
52,5.699616792998917e-29,"f = (((log(#2) - (log(#2 + (#1 - (#2 / #2))) - log((#2 - #2) - #2))) - log((#1 / #1) - (#1 + #2))) * 0.4) + (log((#1 - (#2 / #2)) * (#1 - (#2 / #2))) * 0.6666666666666663)"
54,5.562238127654023e-29,"f = (((log(#2) - (log((((#2 * #2) - #2) / #2) + #1) - log(#2 - (#2 + #2)))) - log((#1 / #1) - (#2 + #1))) * 0.4) + (log((#1 - (#2 / #2)) * (#1 - (#2 / #2))) * 0.6666666666666663)"
56,5.513645944668997e-29,"f = (log((#1 - (#2 / #2)) * (#1 - (#2 / #2))) * 0.6666666666666663) + ((((log(#2) - log(#1 + (((#2 * #2) - #2) / #2))) - log(-0.6750449983900497 / #2)) - log((#1 / #1) - (#1 + #2))) * 0.4)"
58,5.21110581214453e-29,"f = (((log(#2) - (log((#1 - (#2 / #2)) + #2) - log((#2 - #2) - #2))) - log(((#2 + #1) - (#1 / #1)) / -0.08939221195119083)) * 0.4) + (0.6666666666666663 * log((#1 - (#2 / #2)) * (#1 - (#2 / #2))))"
60,5.206218175094602e-29,"f = (log((#1 - (#2 / #2)) * (#1 - (#2 / #2))) * 0.6666666666666663) + ((log(((#2 + #1) - (#1 / #1)) / -0.08939221195119083) - ((log(#2) - log(#2 + (#1 - (#2 / #2)))) - log(-1.160236246445116 / #2))) * -0.4)"
62,2.9565806565632353e-29,"f = (((log(#2) - (log(#2 + (#1 - (#2 / #2))) - log((#2 - #2) - #2))) - log(#1 + ((((#1 + #2) - (#1 / #1)) / -1.1199098444680036) - #1))) * 0.4) + (log((#1 - (#2 / #2)) * (#1 - (#2 / #2))) * 0.6666666666666663)"
64,2.9088922056721835e-29,"f = (log((#1 - (#2 / #2)) * (#1 - (#2 / #2))) * 0.6666666666666663) + (0.4 * (((log(#2) - log((#1 - (#2 / #2)) + #2)) - log(-0.6750449983900497 / #2)) - log(#1 + ((((#1 + #2) - (#1 / #1)) / -1.1199098444680036) - #1))))"
66,2.7715135403272896e-29,"f = (log((#1 - (#2 / #2)) * (#1 - (#2 / #2))) * 0.6666666666666663) + ((((log(#2) - log(#1 + (((#2 * #2) - #2) / #2))) - log(-0.6750449983900497 / #2)) - log(((((#2 + #1) - (#1 / #1)) / -1.1199098444680036) - #1) + #1)) * 0.4)"
68,2.71282411891322e-29,"f = (log((#1 - (#2 / #2)) * (#1 - (#2 / #2))) * 0.6666666666666663) + (0.4 * (((log(#2) - log(((#2 * (#1 - (#2 / #2))) / #2) + #2)) - log(-0.3083055618046533 / #2)) - log(((((#1 + #2) - (#1 / #1)) / -1.1199098444680036) - #1) + #1)))"
72,2.0707298862409613e-29,"f = (((log(#2) - (log((#1 - (#1 / #1)) + #2) - log(#2 / -0.10437921961256275))) - log(#1 + ((((#2 + #1) - (#1 / #1)) / -1.1199098444680036) - #1))) * 0.4) + (log((#1 - (#2 / #2)) * (#1 - (#2 / ((#2 * #2) * ((#2 / #2) / #2))))) * 0.6666666666666663)"
76,1.8554811186049413e-29,"f = ((((log(#2) - log((#1 - (#1 / #1)) + #2)) - log(-0.3564109612415406 / #2)) - log(#1 + ((((#2 + #1) - (#1 / #1)) / -1.1199098444680036) - #1))) * 0.4) + ((#1 * (log((#1 - (#2 / #2)) * (#1 - (#2 / ((#2 * #2) * ((#2 / #2) / #2))))) / #1)) * 0.6666666666666663)"
80,1.472872866587435e-29,"f = (0.4 * (((log(#2) - log(#2 + (#1 - (#1 / #1)))) - log(-1.2627782714045985 / #2)) - log(#1 + ((((#2 + #1) - (#1 / #1)) / -1.1199098444680036) - #1)))) + ((log((#1 - (#2 / #2)) * (#1 - (#2 / ((#2 * #2) * ((#2 / #2) / #2))))) / #1) * ((0.6666666666666663 / #1) * (#1 * #1)))"
84,1.4186510053051345e-29,"f = ((((log(#2) - log(#2 + (#1 - (#1 / #1)))) - log(-1.2627782714045985 / #2)) - log(#1 + ((((#2 + #1) - (#1 / #1)) / -1.1199098444680036) - #1))) * 0.4) + ((#1 * 0.6666666666666663) * (log((#1 - (#2 / #2)) * ((#1 * (#1 - ((#2 / (((#2 / #2) / #2) * (#2 * #2))) / (#1 / #1)))) / #1)) / #1))"
88,1.3869563613963427e-29,"f = ((((log(#2) - log(#2 + (#1 - (#1 / #1)))) - log(-1.2627782714045985 / #2)) - log(#1 + ((((#1 + #2) - (#1 / #1)) / -1.1199098444680036) - #1))) * 0.4) + (((0.6666666666666663 * #1) * (log((#1 - (#2 / #2)) * (((#1 - ((#2 / ((#2 * #2) * ((#2 / #2) / #2))) / (#1 / #1))) * #1) / #1)) / #1)) - (#2 / #2))"
94,1.3426180475879593e-29,"f = (0.6666666666666663 * log((((#1 * (#1 - ((#2 / (((#2 / #2) / #2) * (#2 * #2))) / (#1 / #1)))) / #1) * 0.44300362023040785) * (#1 - (#2 / #2)))) + (0.4 * (((log(#2) - log(((#2 * (#1 - (#1 / #1))) / #2) + ((#2 / #2) * #2))) - log(-0.972322728490194 / #2)) - log(#1 + ((((#1 + #2) - (#1 / #1)) / -1.1199098444680036) - #1))))"
98,1.320301414102909e-29,"f = (((((log(#2) - log((((#1 - (#1 / #1)) * #2) / #2) + ((#2 / #2) * #2))) - log(-0.972322728490194 / #2)) - log(((((#1 + #2) - (#1 / #1)) / -1.1199098444680036) - #1) + #1)) * 0.4) + ((log((((#1 * (#1 - ((#2 / (((#2 / #2) / #2) * (#2 * #2))) / (#1 / #1)))) / #1) * 0.44300362023040785) * (#1 - (#2 / #2))) * 0.6666666666666663) + #2)) - #2"
